Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Filip Hronek (26347654),Filip Hronek,26347654,D/UTIL,4900,WPG@DET 01/10/2023 07:00PM ET,DET,9.37
C,Mikael Backlund (26346954),Mikael Backlund,26346954,C/UTIL,4900,CGY@STL 01/10/2023 08:00PM ET,CGY,9.39
RW,Jared McCann (26347210),Jared McCann,26347210,W/UTIL,4800,SEA@BUF 01/10/2023 07:00PM ET,SEA,9.09
D,Jared Spurgeon (26347656),Jared Spurgeon,26347656,D/UTIL,4800,MIN@NYR 01/10/2023 07:00PM ET,MIN,9.5
LW,Andrei Kuzmenko (26347208),Andrei Kuzmenko,26347208,W/UTIL,4800,VAN@PIT 01/10/2023 07:00PM ET,VAN,9.67
C,J.T. Compher (26346956),J.T. Compher,26346956,C/UTIL,4800,FLA@COL 01/10/2023 09:30PM ET,COL,8.2
C,Matty Beniers (26346958),Matty Beniers,26346958,C/UTIL,4700,SEA@BUF 01/10/2023 07:00PM ET,SEA,9.88
LW,Andre Burakovsky (26347212),Andre Burakovsky,26347212,W/UTIL,4700,SEA@BUF 01/10/2023 07:00PM ET,SEA,9.44
LW,Anthony Cirelli (26347214),Anthony Cirelli,26347214,W/UTIL,4700,CLS@TB 01/10/2023 07:00PM ET,TB,8.81
D,Nick Blankenburg (26347658),Nick Blankenburg,26347658,D/UTIL,4700,CLS@TB 01/10/2023 07:00PM ET,CLS,9.2
D,Brady Skjei (26347660),Brady Skjei,26347660,D/UTIL,4700,NJ@CAR 01/10/2023 07:00PM ET,CAR,8.08
D,Adam Larsson (26347662),Adam Larsson,26347662,D/UTIL,4600,SEA@BUF 01/10/2023 07:00PM ET,SEA,9.17
C,Filip Chytil (26346960),Filip Chytil,26346960,C/UTIL,4600,MIN@NYR 01/10/2023 07:00PM ET,NYR,8.46
RW,Jonathan Huberdeau (26347218),Jonathan Huberdeau,26347218,W/UTIL,4600,CGY@STL 01/10/2023 08:00PM ET,CGY,7.73
RW,Nick Schmaltz (26347216),Nick Schmaltz,26347216,W/UTIL,4600,SJ@ARI 01/10/2023 09:00PM ET,ARI,9.15
RW,Emil Bemstrom (26347220),Emil Bemstrom,26347220,W/UTIL,4500,CLS@TB 01/10/2023 07:00PM ET,CLS,8.76
C,Tyler Seguin (26346962),Tyler Seguin,26346962,C/UTIL,4500,DAL@NYI 01/10/2023 07:30PM ET,DAL,8.12
RW,Mason Marchment (26347222),Mason Marchment,26347222,W/UTIL,4500,DAL@NYI 01/10/2023 07:30PM ET,DAL,7.96
D,Colton Parayko (26347664),Colton Parayko,26347664,D/UTIL,4500,CGY@STL 01/10/2023 08:00PM ET,STL,8.27
RW,Jordan Eberle (26347226),Jordan Eberle,26347226,W/UTIL,4400,SEA@BUF 01/10/2023 07:00PM ET,SEA,9.05
C,Nicholas Paul (26346964),Nicholas Paul,26346964,C/UTIL,4400,CLS@TB 01/10/2023 07:00PM ET,TB,8.18
RW,Tomas Tatar (26347224),Tomas Tatar,26347224,W/UTIL,4400,NJ@CAR 01/10/2023 07:00PM ET,NJ,7.87
D,Neal Pionk (26347666),Neal Pionk,26347666,D/UTIL,4400,WPG@DET 01/10/2023 07:00PM ET,WPG,8.06
D,Vince Dunn (26347668),Vince Dunn,26347668,D/UTIL,4300,SEA@BUF 01/10/2023 07:00PM ET,SEA,8.58
LW,Jason Zucker (26347228),Jason Zucker,26347228,W/UTIL,4300,VAN@PIT 01/10/2023 07:00PM ET,PIT,8.51
C,Brayden Schenn (26346966),Brayden Schenn,26346966,C/UTIL,4300,CGY@STL 01/10/2023 08:00PM ET,STL,8.12
C,Ryan O'Reilly (26346968),Ryan O'Reilly,26346968,C/UTIL,4300,CGY@STL 01/10/2023 08:00PM ET,STL,7.28
C,Jack Roslovic (26346970),Jack Roslovic,26346970,C/UTIL,4200,CLS@TB 01/10/2023 07:00PM ET,CLS,6.76
RW,Ryan Hartman (26347232),Ryan Hartman,26347232,W/UTIL,4200,MIN@NYR 01/10/2023 07:00PM ET,MIN,8.58
D,Ryan Pulock (26347670),Ryan Pulock,26347670,D/UTIL,4200,DAL@NYI 01/10/2023 07:30PM ET,NYI,7.43
RW,Alexander Barabanov (26347230),Alexander Barabanov,26347230,W/UTIL,4200,SJ@ARI 01/10/2023 09:00PM ET,SJ,8.09
RW,Alex Killorn (26347234),Alex Killorn,26347234,W/UTIL,4100,CLS@TB 01/10/2023 07:00PM ET,TB,7.89
C,Frederick Gaudreau (26346974),Frederick Gaudreau,26346974,C/UTIL,4100,MIN@NYR 01/10/2023 07:00PM ET,MIN,7.39
LW,Michael Rasmussen (26347236),Michael Rasmussen,26347236,W/UTIL,4100,WPG@DET 01/10/2023 07:00PM ET,DET,7.29
D,Jake Walman (26347672),Jake Walman,26347672,D/UTIL,4100,WPG@DET 01/10/2023 07:00PM ET,DET,8.26
C,Jean-Gabriel Pageau (26346972),Jean-Gabriel Pageau,26346972,C/UTIL,4100,DAL@NYI 01/10/2023 07:30PM ET,NYI,8.20
D,Ian Cole (26347674),Ian Cole,26347674,D/UTIL,4000,CLS@TB 01/10/2023 07:00PM ET,TB,7.20
RW,Brock Boeser (26347238),Brock Boeser,26347238,W/UTIL,4000,VAN@PIT 01/10/2023 07:00PM ET,VAN,8.76
LW,Ondrej Palat (26347240),Ondrej Palat,26347240,W/UTIL,4000,NJ@CAR 01/10/2023 07:00PM ET,NJ,6.58
LW,Teuvo Teravainen (26347242),Teuvo Teravainen,26347242,W/UTIL,4000,NJ@CAR 01/10/2023 07:00PM ET,CAR,7.16
RW,Oliver Bjorkstrand (26347248),Oliver Bjorkstrand,26347248,W/UTIL,3900,SEA@BUF 01/10/2023 07:00PM ET,SEA,8.32
C,Jeff Carter (26346976),Jeff Carter,26346976,C/UTIL,3900,VAN@PIT 01/10/2023 07:00PM ET,PIT,7.71
D,Jaccob Slavin (26347676),Jaccob Slavin,26347676,D/UTIL,3900,NJ@CAR 01/10/2023 07:00PM ET,CAR,7.03
D,Brett Pesce (26347678),Brett Pesce,26347678,D/UTIL,3900,NJ@CAR 01/10/2023 07:00PM ET,CAR,7.19
LW,Cole Perfetti (26347246),Cole Perfetti,26347246,W/UTIL,3900,WPG@DET 01/10/2023 07:00PM ET,WPG,6.97
D,Ben Chiarot (26347682),Ben Chiarot,26347682,D/UTIL,3900,WPG@DET 01/10/2023 07:00PM ET,DET,8.02
D,Adam Pelech (26347680),Adam Pelech,26347680,D/UTIL,3900,DAL@NYI 01/10/2023 07:30PM ET,NYI,6.86
LW,Dillon Dube (26347244),Dillon Dube,26347244,W/UTIL,3900,CGY@STL 01/10/2023 08:00PM ET,CGY,6.25
LW,Gustav Nyquist (26347250),Gustav Nyquist,26347250,W/UTIL,3800,CLS@TB 01/10/2023 07:00PM ET,CLS,7.27
D,Marcus Bjork (26347684),Marcus Bjork,26347684,D/UTIL,3800,CLS@TB 01/10/2023 07:00PM ET,CLS,6.79
C,Sam Steel (26346978),Sam Steel,26346978,C/UTIL,3800,MIN@NYR 01/10/2023 07:00PM ET,MIN,5.24
D,K'Andre Miller (26347688),K'Andre Miller,26347688,D/UTIL,3800,MIN@NYR 01/10/2023 07:00PM ET,NYR,7.23
D,Marcus Pettersson (26347686),Marcus Pettersson,26347686,D/UTIL,3800,VAN@PIT 01/10/2023 07:00PM ET,PIT,7.08
RW,Seth Jarvis (26347254),Seth Jarvis,26347254,W/UTIL,3800,NJ@CAR 01/10/2023 07:00PM ET,CAR,7.40
LW,Lawson Crouse (26347252),Lawson Crouse,26347252,W/UTIL,3800,SJ@ARI 01/10/2023 09:00PM ET,ARI,8.33
D,Mattias Samuelsson (26347692),Mattias Samuelsson,26347692,D/UTIL,3700,SEA@BUF 01/10/2023 07:00PM ET,BUF,6.27
C,Kent Johnson (26346980),Kent Johnson,26346980,C/UTIL,3700,CLS@TB 01/10/2023 07:00PM ET,CLS,5.86
RW,Kaapo Kakko (26347262),Kaapo Kakko,26347262,W/UTIL,3700,MIN@NYR 01/10/2023 07:00PM ET,NYR,6.24
D,Matt Dumba (26347694),Matt Dumba,26347694,D/UTIL,3700,MIN@NYR 01/10/2023 07:00PM ET,MIN,6.07
LW,Zach Parise (26347258),Zach Parise,26347258,W/UTIL,3700,DAL@NYI 01/10/2023 07:30PM ET,NYI,8.81
RW,Oliver Wahlstrom (26347260),Oliver Wahlstrom,26347260,W/UTIL,3700,DAL@NYI 01/10/2023 07:30PM ET,NYI,6.8
D,MacKenzie Weegar (26347690),MacKenzie Weegar,26347690,D/UTIL,3700,CGY@STL 01/10/2023 08:00PM ET,CGY,6.96
LW,J.J. Moser (26347256),J.J. Moser,26347256,W/UTIL,3700,SJ@ARI 01/10/2023 09:00PM ET,ARI,7.44
RW,Daniel Sprong (26347266),Daniel Sprong,26347266,W/UTIL,3600,SEA@BUF 01/10/2023 07:00PM ET,SEA,8.99
D,Justin Schultz (26347700),Justin Schultz,26347700,D/UTIL,3600,SEA@BUF 01/10/2023 07:00PM ET,SEA,7.76
D,Owen Power (26347702),Owen Power,26347702,D/UTIL,3600,SEA@BUF 01/10/2023 07:00PM ET,BUF,6.22
D,Vladislav Gavrikov (26347696),Vladislav Gavrikov,26347696,D/UTIL,3600,CLS@TB 01/10/2023 07:00PM ET,CLS,6.33
LW,Ilya Mikheyev (26347264),Ilya Mikheyev,26347264,W/UTIL,3600,VAN@PIT 01/10/2023 07:00PM ET,VAN,8.06
LW,Jonatan Berggren (26347268),Jonatan Berggren,26347268,W/UTIL,3600,WPG@DET 01/10/2023 07:00PM ET,DET,6.44
D,Scott Mayfield (26347698),Scott Mayfield,26347698,D/UTIL,3600,DAL@NYI 01/10/2023 07:30PM ET,NYI,7.70
C,Travis Boyd (26346982),Travis Boyd,26346982,C/UTIL,3600,SJ@ARI 01/10/2023 09:00PM ET,ARI,4.55
RW,Kevin Labanc (26347270),Kevin Labanc,26347270,W/UTIL,3600,SJ@ARI 01/10/2023 09:00PM ET,SJ,7.10
D,Erik Gudbranson (26347704),Erik Gudbranson,26347704,D/UTIL,3500,CLS@TB 01/10/2023 07:00PM ET,CLS,6.53
D,Calen Addison (26347710),Calen Addison,26347710,D/UTIL,3500,MIN@NYR 01/10/2023 07:00PM ET,MIN,6.12
RW,Dawson Mercer (26347272),Dawson Mercer,26347272,W/UTIL,3500,NJ@CAR 01/10/2023 07:00PM ET,NJ,7.92
RW,Lucas Raymond (26347280),Lucas Raymond,26347280,W/UTIL,3500,WPG@DET 01/10/2023 07:00PM ET,DET,6.88
LW,Josh Bailey (26347276),Josh Bailey,26347276,W/UTIL,3500,DAL@NYI 01/10/2023 07:30PM ET,NYI,5.45
