entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3071787122","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-40023:Anton Forsberg,87112-40023,G,Anton,Anton Forsberg,Forsberg,14.400000210466056,29,6500,CHI@OTT,OTT,CHI,IR,Knee,,,,G
"3071787123","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-161891:Dylan Garand,87112-161891,G,Dylan,Dylan Garand,Garand,,,6500,NYR@EDM,NYR,EDM,,,,,,G
"3071787124","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-161892:Talyn Boyko,87112-161892,G,Talyn,Talyn Boyko,Boyko,,,6500,NYR@EDM,NYR,EDM,,,,,,G
"3071787125","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-82035:Cal Petersen,87112-82035,G,Cal,Cal Petersen,Petersen,8.533333460489908,12,6500,LA@ANH,LA,ANH,,,,,,G
"3071787126","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-82036:Matt Villalta,87112-82036,G,Matt,Matt Villalta,Villalta,,,6500,LA@ANH,LA,ANH,,,,,,G
"3071787127","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-161919:Remi Poirier,87112-161919,G,Remi,Remi Poirier,Poirier,,,6500,DAL@MIN,DAL,MIN,,,,,,G
"3071787128","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-166031:Taylor Gauthier,87112-166031,G,Taylor,Taylor Gauthier,Gauthier,,,6500,PIT@NYI,PIT,NYI,,,,,,G
"3071787129","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-14483:Louis Domingue,87112-14483,G,Louis,Louis Domingue,Domingue,19.200000762939453,8,6500,NYR@EDM,NYR,EDM,,,,,,G
"3071787130","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-180384:Henrik Tikkanen,87112-180384,G,Henrik,Henrik Tikkanen,Tikkanen,,,6500,PIT@NYI,NYI,PIT,,,,,,G
"3071787131","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-168114:Ryan Fanti,87112-168114,G,Ryan,Ryan Fanti,Fanti,,,6500,NYR@EDM,EDM,NYR,,,,,,G
"3071787132","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-66743:Kenneth Appleby,87112-66743,G,Kenneth,Kenneth Appleby,Appleby,,,6500,PIT@NYI,NYI,PIT,,,,,,G
"3071787134","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-168116:David Hrenak,87112-168116,G,David,David Hrenak,Hrenak,,,6500,LA@ANH,LA,ANH,,,,,,G
"3071787135","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-161995:Gage Alexander,87112-161995,G,Gage,Gage Alexander,Alexander,,,6500,LA@ANH,ANH,LA,,,,,,G
"3071787136","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-82163:Olle Eriksson Ek,87112-82163,G,Olle,Olle Eriksson Ek,Eriksson Ek,,,6500,LA@ANH,ANH,LA,,,,,,G
"3071787137","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-82174:Miro Heiskanen,87112-82174,D,Miro,Miro Heiskanen,Heiskanen,12.607273171164772,55,6500,DAL@MIN,DAL,MIN,,,,,,D/UTIL
"3071787138","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-170240:Olof Lindbom,87112-170240,G,Olof,Olof Lindbom,Lindbom,,,6500,NYR@EDM,NYR,EDM,,,,,,G
"3071787139","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-117021:Hunter Jones,87112-117021,G,Hunter,Hunter Jones,Jones,,,6500,DAL@MIN,MIN,DAL,,,,,,G
"3071787140","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-82204:Parker Gahagen,87112-82204,G,Parker,Parker Gahagen,Gahagen,,,6500,NYR@EDM,NYR,EDM,,,,,,G
"3071787141","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-170275:Jesper Wallstedt,87112-170275,G,Jesper,Jesper Wallstedt,Wallstedt,,,6500,DAL@MIN,MIN,DAL,,,,,,G
"3071787142","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-12654:Calvin Pickard,87112-12654,G,Calvin,Calvin Pickard,Pickard,8.799999872843424,3,6500,NYR@EDM,EDM,NYR,,,,,,G
"3071787143","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-167289:Calle Clang,87112-167289,G,Calle,Calle Clang,Clang,,,6500,LA@ANH,ANH,LA,,,,,,G
"3071787144","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-74125:Dylan Wells,87112-74125,G,Dylan,Dylan Wells,Wells,5.599999904632568,1,6500,CHI@OTT,CHI,OTT,,,,,,G
"3071787145","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-8672:Mike Smith,87112-8672,G,Mike,Mike Smith,Smith,19.9272724498402,44,6500,NYR@EDM,EDM,NYR,IR,Undisclosed,,,,G
"3071787146","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-162288:Tristan Lennox,87112-162288,G,Tristan,Tristan Lennox,Lennox,,,6500,PIT@NYI,NYI,PIT,,,,,,G
"3071787147","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-154165:Leevi Merilainen,87112-154165,G,Leevi,Leevi Merilainen,Merilainen,,,6500,CHI@OTT,OTT,CHI,,,,,,G
"3071787148","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-8781:Cory Schneider,87112-8781,G,Cory,Cory Schneider,Schneider,21.600000381469727,1,6500,PIT@NYI,NYI,PIT,,,,,,G
"3071787149","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-148097:Matt Boldy,87112-148097,W,Matt,Matt Boldy,Boldy,12.540740966796875,54,6500,DAL@MIN,MIN,DAL,,,,,,W/UTIL
"3071787150","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-169657:Matthew Berlin,87112-169657,G,Matthew,Matthew Berlin,Berlin,0.800000011920929,1,6500,NYR@EDM,EDM,NYR,,,,,,G
"3071787151","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-8893:Anton Khudobin,87112-8893,G,Anton,Anton Khudobin,Khudobin,8.640000152587891,10,6500,DAL@MIN,DAL,MIN,,,,,,G
"3071787152","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-148184:Adam Scheel,87112-148184,G,Adam,Adam Scheel,Scheel,,,6500,DAL@MIN,DAL,MIN,,,,,,G
"3071787153","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-151336:Arvid Soderblom,87112-151336,G,Arvid,Arvid Soderblom,Soderblom,9.176470588235293,17,6500,CHI@OTT,CHI,OTT,,,,,,G
"3071787154","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-97134:Olivier Rodrigue,87112-97134,G,Olivier,Olivier Rodrigue,Rodrigue,,,6500,NYR@EDM,EDM,NYR,,,,,,G
"3071787155","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-180077:Matt Murray,87112-180077,G,Matt,Matt Murray,Murray,0,1,6500,DAL@MIN,DAL,MIN,,,,,,G
"3071787156","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-97161:Jacob Ingham,87112-97161,G,Jacob,Jacob Ingham,Ingham,,,6500,LA@ANH,LA,ANH,O,Back,,,,G
"3071787157","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-157597:Filip Lindberg,87112-157597,G,Filip,Filip Lindberg,Lindberg,,,6500,PIT@NYI,PIT,NYI,,,,,,G
"3071787158","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-97231:Jakub Skarek,87112-97231,G,Jakub,Jakub Skarek,Skarek,,,6500,PIT@NYI,NYI,PIT,,,,,,G
"3071787159","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-8608:Kris Letang,87112-8608,D,Kris,Kris Letang,Letang,11.655555725097656,36,6400,PIT@NYI,PIT,NYI,,,,,,D/UTIL
"3071787160","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-15283:Vincent Trocheck,87112-15283,C,Vincent,Vincent Trocheck,Trocheck,12.559259485315394,54,6400,NYR@EDM,NYR,EDM,,,,,,C/UTIL
