entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3083603816","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-8175:Patrice Bergeron,88061-8175,C,Patrice,Patrice Bergeron,Bergeron,14.04090927586411,66,7100,BOS@WPG,BOS,WPG,,,,,,C/UTIL
"3083603817","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-73885:Alex DeBrincat,88061-73885,W,Alex,Alex DeBrincat,DeBrincat,14.032836003090019,67,7000,COL@OTT,OTT,COL,,,,,,W/UTIL
"3083603819","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-8651:Alex Pietrangelo,88061-8651,D,Alex,Alex Pietrangelo,Pietrangelo,13.889830508474576,59,7000,CGY@VGK,VGK,CGY,,,,,,D/UTIL
"3083603820","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-148067:Cole Caufield,88061-148067,W,Cole,Cole Caufield,Caufield,14.543478260869565,46,7000,MON@FLA,MON,FLA,IR,Shoulder,,,,W/UTIL
"3083603822","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-8893:Anton Khudobin,88061-8893,G,Anton,Anton Khudobin,Khudobin,8.640000152587891,10,7000,CHI@NSH,CHI,NSH,,,,,,G
"3083603823","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-15251:Boone Jenner,88061-15251,C,Boone,Boone Jenner,Jenner,14.510908647017045,55,7000,CBJ@LA,CBJ,LA,,,,,,C/UTIL
"3083603824","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-9252:Alex Stalock,88061-9252,G,Alex,Alex Stalock,Stalock,17.43157958984375,19,7000,CHI@NSH,CHI,NSH,,,,,,G
"3083603825","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-15400:Petr Mrazek,88061-15400,G,Petr,Petr Mrazek,Mrazek,12.654545639500473,33,7000,CHI@NSH,CHI,NSH,O,Groin,,,,G
"3083603827","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-43093:Shea Theodore,88061-43093,D,Shea,Shea Theodore,Theodore,13.327083587646484,48,6900,CGY@VGK,VGK,CGY,,,,,,D/UTIL
"3083603828","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-8394:Anze Kopitar,88061-8394,C,Anze,Anze Kopitar,Kopitar,14.017647238338695,68,6900,CBJ@LA,LA,CBJ,,,,,,C/UTIL
"3083603829","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-9112:Jake Allen,88061-9112,G,Jake,Jake Allen,Allen,13.819999694824219,40,6900,MON@FLA,MON,FLA,,,,,,G
"3083603830","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-70571:Jake Guentzel,88061-70571,W,Jake,Jake Guentzel,Guentzel,15.1015380859375,65,6900,PIT@NYR,PIT,NYR,,,,,,W/UTIL
"3083603831","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-66693:Sam Montembeault,88061-66693,G,Sam,Sam Montembeault,Montembeault,15.296969327059658,33,6900,MON@FLA,MON,FLA,,,,,,G
"3083603832","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-117110:Mads Sogaard,88061-117110,G,Mads,Mads Sogaard,Sogaard,13.039999389648438,10,6800,COL@OTT,OTT,COL,,,,,,G
"3083603833","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-61859:Brandon Montour,88061-61859,D,Brandon,Brandon Montour,Montour,14.207692307692307,65,6800,MON@FLA,FLA,MON,,,,,,D/UTIL
"3083603834","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-41392:Valeri Nichushkin,88061-41392,W,Valeri,Valeri Nichushkin,Nichushkin,14.102564102564102,39,6800,COL@OTT,COL,OTT,,,,,,W/UTIL
"3083603835","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-80369:Jesper Bratt,88061-80369,W,Jesper,Jesper Bratt,Bratt,13.510447943388526,67,6800,TB@NJ,NJ,TB,,,,,,W/UTIL
"3083603836","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-97135:Kevin Mandolese,88061-97135,G,Kevin,Kevin Mandolese,Mandolese,14.800000190734863,4,6800,COL@OTT,OTT,COL,,,,,,G
