Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Chandler Stephenson (26923875),Chandler Stephenson,26923875,C/UTIL,3900,VGK@TB 03/09/2023 07:00PM ET,VGK,8.04
C,Dylan Strome (26923873),Dylan Strome,26923873,C/UTIL,3900,NJ@WAS 03/09/2023 07:00PM ET,WAS,7.99
C,Charlie Coyle (26923877),Charlie Coyle,26923877,C/UTIL,3800,EDM@BOS 03/09/2023 07:30PM ET,BOS,7.38
D,Esa Lindell (26924727),Esa Lindell,26924727,D/UTIL,3800,DAL@BUF 03/09/2023 07:00PM ET,DAL,7.62
RW,Kyle Palmieri (26924213),Kyle Palmieri,26924213,W/UTIL,3800,NYI@PIT 03/09/2023 07:00PM ET,NYI,7.14
D,Scott Mayfield (26924721),Scott Mayfield,26924721,D/UTIL,3800,NYI@PIT 03/09/2023 07:00PM ET,NYI,7.73
D,Ryan Pulock (26924723),Ryan Pulock,26924723,D/UTIL,3800,NYI@PIT 03/09/2023 07:00PM ET,NYI,6.80
D,Jake Sanderson (26924725),Jake Sanderson,26924725,D/UTIL,3800,OTT@SEA 03/09/2023 10:00PM ET,OTT,7.66
D,Brayden McNabb (26924719),Brayden McNabb,26924719,D/UTIL,3800,VGK@TB 03/09/2023 07:00PM ET,VGK,7.53
C,Erik Haula (26923879),Erik Haula,26923879,C/UTIL,3800,NJ@WAS 03/09/2023 07:00PM ET,NJ,7.31
LW,Tomas Tatar (26924211),Tomas Tatar,26924211,W/UTIL,3800,NJ@WAS 03/09/2023 07:00PM ET,NJ,7.26
D,Nick Jensen (26924717),Nick Jensen,26924717,D/UTIL,3800,NJ@WAS 03/09/2023 07:00PM ET,WAS,7.15
C,Ryan Johansen (26923883),Ryan Johansen,26923883,C/UTIL,3700,NSH@ARI 03/09/2023 09:00PM ET,NSH,6.27
RW,Philip Tomasino (26924221),Philip Tomasino,26924221,W/UTIL,3700,NSH@ARI 03/09/2023 09:00PM ET,NSH,7.07
LW,Tyler Bertuzzi (26924215),Tyler Bertuzzi,26924215,W/UTIL,3700,EDM@BOS 03/09/2023 07:30PM ET,BOS,7.17
C,Wyatt Johnston (26923885),Wyatt Johnston,26923885,C/UTIL,3700,DAL@BUF 03/09/2023 07:00PM ET,DAL,6.62
LW,James van Riemsdyk (26924219),James van Riemsdyk,26924219,W/UTIL,3700,PHI@CAR 03/09/2023 07:00PM ET,PHI,7.10
D,Jaccob Slavin (26924733),Jaccob Slavin,26924733,D/UTIL,3700,PHI@CAR 03/09/2023 07:00PM ET,CAR,7.54
D,Marcus Pettersson (26924735),Marcus Pettersson,26924735,D/UTIL,3700,NYI@PIT 03/09/2023 07:00PM ET,PIT,7.30
D,Travis Hamonic (26924737),Travis Hamonic,26924737,D/UTIL,3700,OTT@SEA 03/09/2023 10:00PM ET,OTT,7.50
C,William Karlsson (26923881),William Karlsson,26923881,C/UTIL,3700,VGK@TB 03/09/2023 07:00PM ET,VGK,7.62
LW,Ondrej Palat (26924217),Ondrej Palat,26924217,W/UTIL,3700,NJ@WAS 03/09/2023 07:00PM ET,NJ,8.34
D,Rasmus Sandin (26924729),Rasmus Sandin,26924729,D/UTIL,3700,NJ@WAS 03/09/2023 07:00PM ET,WAS,6
D,Martin Fehervary (26924731),Martin Fehervary,26924731,D/UTIL,3700,NJ@WAS 03/09/2023 07:00PM ET,WAS,6.87
RW,Lawson Crouse (26924223),Lawson Crouse,26924223,W/UTIL,3600,NSH@ARI 03/09/2023 09:00PM ET,ARI,8.25
D,Owen Power (26924743),Owen Power,26924743,D/UTIL,3600,DAL@BUF 03/09/2023 07:00PM ET,BUF,6.55
D,Josh Manson (26924739),Josh Manson,26924739,D/UTIL,3600,LA@COL 03/09/2023 09:00PM ET,COL,7.25
C,Christian Dvorak (26923887),Christian Dvorak,26923887,C/UTIL,3600,NYR@MON 03/09/2023 07:00PM ET,MON,6.59
