entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,,Instructions,,,,,,,,,,,,,,,,,
3036657696,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-148186,85900-9189,85900-104448,85900-70483,85900-103523,85900-135663,85900-70900,85900-8556,85900-54065,,85900-8175:Patrice Bergeron,85900-8175,C,Patrice,Patrice Bergeron,Bergeron,15.21000061,40,7900,SEA@BOS,BOS,SEA,,,,,,C/UTIL
3036657697,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-15360,85900-62445,85900-145545,85900-84346,85900-14178,85900-169056,85900-70924,85900-9266,85900-97232,,85900-73885:Alex DeBrincat,85900-73885,W,Alex,Alex DeBrincat,DeBrincat,15.05749969,40,7800,OTT@ARI,OTT,ARI,,,,,,W/UTIL
3036657698,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-151978,85900-68644,85900-39253,85900-42772,85900-103523,85900-43200,85900-70483,85900-82045,85900-97232,,85900-8612:Marc-Andre Fleury,85900-8612,G,Marc-Andre,Marc-Andre Fleury,Fleury,15.11111111,27,7800,MIN@NYI,MIN,NYI,,,,,,G
3036657699,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-58332,85900-70279,85900-39238,85900-43028,85900-70199,85900-81999,85900-66737,85900-97022,85900-15339,,85900-41393:Aleksander Barkov,85900-41393,C,Aleksander,Aleksander Barkov,Barkov,15.43437481,32,7800,FLA@VGK,FLA,VGK,,,,,,C/UTIL
3036657700,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-142017,85900-58926,85900-62032,85900-84346,85900-66759,85900-70199,85900-82198,85900-8655,85900-83235,,85900-82752:Filip Gustavsson,85900-82752,G,Filip,Filip Gustavsson,Gustavsson,16.58947433,19,7800,MIN@NYI,MIN,NYI,,,,,,G
3036657702,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-41592,85900-82087,85900-97022,85900-97147,85900-103940,85900-8651,85900-82179,85900-8254,85900-11301,,85900-12253:Mats Zuccarello,85900-12253,W,Mats,Mats Zuccarello,Zuccarello,16.40000032,38,7800,MIN@NYI,MIN,NYI,,,,,,W/UTIL
3036657703,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-41390,85900-70279,85900-21122,85900-66737,85900-168025,85900-41394,85900-82006,85900-8875,85900-9278,,85900-9252:Alex Stalock,85900-9252,G,Alex,Alex Stalock,Stalock,17.37142835,14,7700,COL@CHI,CHI,COL,DTD,Illness,,,,G
3036657706,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-148101,85900-15360,85900-142018,85900-42983,85900-103523,85900-66635,85900-41391,85900-66709,85900-11301,,85900-15400:Petr Mrazek,85900-15400,G,Petr,Petr Mrazek,Mrazek,8.685714177,14,7700,COL@CHI,CHI,COL,,,,,,G
3036657708,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-113269,85900-169054,85900-104448,85900-142015,85900-70907,85900-8651,85900-70279,85900-43214,85900-54065,,85900-82190:Drake Batherson,85900-82190,W,Drake,Drake Batherson,Batherson,14.61750031,40,7600,OTT@ARI,OTT,ARI,,,,,,W/UTIL
3036657709,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-15360,85900-41391,85900-173536,85900-66686,85900-12299,85900-70199,85900-70279,85900-70483,85900-70509,,85900-12628:Mark Stone,85900-12628,W,Mark,Mark Stone,Stone,14.20238095,42,7600,FLA@VGK,VGK,FLA,,,,,,W/UTIL
3036657710,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-15307,85900-70279,85900-43214,85900-55375,85900-103523,85900-61246,85900-8294,85900-70483,85900-66693,,85900-41392:Valeri Nichushkin,85900-41392,W,Valeri,Valeri Nichushkin,Nichushkin,14.85882389,17,7600,COL@CHI,COL,CHI,DTD,Ankle,,,,W/UTIL
3036657711,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-15360,85900-41592,85900-12624,85900-66600,85900-70199,85900-97214,85900-66622,85900-79857,85900-97232,,85900-8633:Thomas Greiss,85900-8633,G,Thomas,Thomas Greiss,Greiss,15.71428571,14,7600,CGY@STL,STL,CGY,,,,,,G
3036657712,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-15360,85900-169054,85900-13982,85900-173536,85900-103523,85900-70907,85900-62445,85900-70483,85900-103202,,85900-15339:Jordan Binnington,85900-40050,G,Jordan,Jordan Binnington,Binnington,13.88235294,34,7600,CGY@STL,STL,CGY,,,,,,G
3036657713,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-142017,85900-148101,85900-169240,85900-39253,85900-12262,85900-169056,85900-62445,85900-81983,85900-12163,,85900-103523:Cale Makar,85900-103523,D,Cale,Cale Makar,Makar,16.36666635,39,7600,COL@CHI,COL,CHI,,,,,,D/UTIL
3036657714,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-113269,85900-152882,85900-12624,85900-23053,85900-41394,85900-55607,85900-73946,85900-82045,85900-66693,,85900-12697:Philipp Grubauer,85900-12697,G,Philipp,Philipp Grubauer,Grubauer,9.01333313,15,7500,SEA@BOS,SEA,BOS,,,,,,G
3036657717,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-15307,85900-41391,85900-42983,85900-55375,85900-14456,85900-60674,85900-58332,85900-82006,85900-149734,,85900-148067:Cole Caufield,85900-148067,W,Cole,Cole Caufield,Caufield,14.38780547,41,7500,NSH@MON,MON,NSH,,,,,,W/UTIL
3036657718,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-70279,85900-9266,85900-111471,85900-42772,85900-168025,85900-37881,85900-66737,85900-70483,85900-104015,,85900-9278:Martin Jones,85900-9278,G,Martin,Martin Jones,Jones,15.66896531,29,7500,SEA@BOS,SEA,BOS,,,,,,G
3036657719,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-148101,85900-65970,85900-70168,85900-70483,85900-103523,85900-66759,85900-97116,85900-85470,85900-83235,,85900-70914:Jakob Chychrun,85900-70914,D,Jakob,Jakob Chychrun,Chychrun,15.13749949,24,7500,OTT@ARI,ARI,OTT,,,,,,D/UTIL
3036657720,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-73946,85900-82004,85900-12728,85900-21523,85900-103445,85900-8426,85900-70513,85900-82045,85900-12163,,85900-21897:Brock Nelson,85900-21897,C,Brock,Brock Nelson,Nelson,14.435714,42,7500,MIN@NYI,NYI,MIN,,,,,,C/UTIL
